run.id,run.params.commit,run.params.vulnerability,run.start_time,run.end_time,run.timed_out,ttf.seconds,ttf.nb_exec,ttf.corpus_size
10,3f648f016c84884d6470fc906735bb8c5da7891b,SDOS2,1970-05-11 04:50:02.427,1970-05-11 04:50:35.434,False,21,31617,1180
12,3f648f016c84884d6470fc906735bb8c5da7891b,SDOS2,1970-05-11 04:50:02.428,1970-05-11 04:50:15.429,False,2,2138,442
14,3f648f016c84884d6470fc906735bb8c5da7891b,SDOS2,1970-05-11 04:50:15.430,1970-05-11 04:50:58.437,False,31,53437,1324
11,3f648f016c84884d6470fc906735bb8c5da7891b,SDOS2,1970-05-11 04:50:02.427,1970-05-11 04:50:15.429,False,8,11921,782
13,3f648f016c84884d6470fc906735bb8c5da7891b,SDOS2,1970-05-11 04:50:15.430,1970-05-11 04:50:28.432,False,1,941,368
20,3f648f016c84884d6470fc906735bb8c5da7891b,SDOS1,1970-05-11 04:50:28.433,1970-05-11 12:44:34.895,False,28433,46170842,2298
22,3f648f016c84884d6470fc906735bb8c5da7891b,SDOS1,1970-05-11 04:50:58.438,1970-05-12 04:50:58.497,True,,,
24,3f648f016c84884d6470fc906735bb8c5da7891b,SDOS1,1970-05-11 21:13:17.900,1970-05-12 17:51:30.158,False,74278,158367049,2552
21,3f648f016c84884d6470fc906735bb8c5da7891b,SDOS1,1970-05-11 04:50:35.435,1970-05-11 21:13:17.900,False,58952,113022652,2527
23,3f648f016c84884d6470fc906735bb8c5da7891b,SDOS1,1970-05-11 12:44:34.900,1970-05-12 12:44:35.381,True,,,
30,3f648f016c84884d6470fc906735bb8c5da7891b,HEAP,1970-05-12 04:50:58.498,1970-05-12 04:53:32.517,False,140,122144,1602
32,3f648f016c84884d6470fc906735bb8c5da7891b,HEAP,1970-05-12 04:55:26.532,1970-05-12 04:59:30.558,False,231,264181,1928
34,3f648f016c84884d6470fc906735bb8c5da7891b,HEAP,1970-05-12 05:01:14.571,1970-05-12 05:03:48.587,False,143,175492,1752
31,3f648f016c84884d6470fc906735bb8c5da7891b,HEAP,1970-05-12 04:53:32.518,1970-05-12 04:55:26.531,False,103,99755,1623
33,3f648f016c84884d6470fc906735bb8c5da7891b,HEAP,1970-05-12 04:59:30.559,1970-05-12 05:01:14.570,False,,,
